Wd,Wn,We,Wout,N,DC Gain,Freq Corte,SR
2.5999999999999997e-06,6.2e-06,5.7999999999999995e-06,2.2e-06,4,199.94449221875274,23988.329190194676,6992386.0
8.8e-06,6.5999999999999995e-06,5.199999999999999e-06,4.8e-06,11,1496.0427244612338,4677.3514128719435,14581206.0
1.8e-06,6.799999999999999e-06,3.2e-06,8.2e-06,2,242.8063717183643,2754.2287033381467,9850246.0
8.8e-06,4.8e-06,8.4e-06,2.8e-06,16,704.9885434217802,10964.781961431756,13657522.0
1.8e-06,4.8e-06,4.6e-06,2.2e-06,10,152.696644980032,23442.288153199,8377228.5
8.8e-06,2e-07,9.6e-06,1.6e-06,16,62.89633365833979,38018.93963205573,3574599.0
8.599999999999999e-06,3e-06,2.2e-06,4.8e-06,1,11.398169234202927,436515.8322401596,10667420.0
6.799999999999999e-06,2.5999999999999997e-06,1.2e-06,4.2e-06,16,0.1961449406059343,28183829.31264398,4788969.0
4.2e-06,5.6e-06,9e-06,2.2e-06,18,124.5574284040229,45708.81896148701,11901431.0
5.6e-06,7.6e-06,3e-06,8.599999999999999e-06,19,0.0755918278587708,83176377.11026536,1673129.9
1.6e-06,3.8e-06,2.4e-06,4.6e-06,5,1.4120275331492078,741310.241300906,1004798.25
9.8e-06,7.2e-06,1.8e-06,6.5999999999999995e-06,1,4.083684962345521,1258925.4117941472,10482379.0
3.2e-06,4.9999999999999996e-06,4.8e-06,1.2e-06,3,88.59898063985459,72443.59600749818,2653234.5
5.4e-06,4.9999999999999996e-06,7.2e-06,6e-06,19,1905.546077918779,3311.311214825886,13655018.0
2.2e-06,5.6e-06,6.2e-06,2e-06,18,57.29425444898995,74131.02413009091,9516689.0
4.6e-06,2e-06,2.8e-06,8.2e-06,1,10.968755520674964,199526.23149688536,4537145.0
6e-06,6.4e-06,6e-06,3.3999999999999996e-06,11,1008.1279808857981,6606.934480075904,13652919.0
5.7999999999999995e-06,1.6e-06,5.7999999999999995e-06,7.8e-06,10,1990.5107904441902,2754.2287033381467,9177461.0
5.7999999999999995e-06,9.4e-06,9.2e-06,5.199999999999999e-06,7,1604.5783157074873,4265.795188015893,14202216.0
3.8e-06,2.4e-06,2.5999999999999997e-06,1.2e-06,15,11.181311310198513,489778.819368439,2521190.5
8e-06,3.6e-06,5.199999999999999e-06,9.8e-06,15,2566.7028969113494,2630.267991895363,12806348.0
6.5999999999999995e-06,6.799999999999999e-06,9.4e-06,6.5999999999999995e-06,9,2046.5928349780888,3467.36850452529,14087963.0
9.2e-06,5.4e-06,8.2e-06,6.2e-06,1,2183.282219804994,3630.7805477009856,9681235.0
4.2e-06,4.4e-06,8.2e-06,4.6e-06,5,1538.408069776119,3715.3522909716967,11223433.0
4.8e-06,6.5999999999999995e-06,4.9999999999999996e-06,6.4e-06,15,1746.929735105971,3162.277660168356,14202183.0
8.599999999999999e-06,5.7999999999999995e-06,4.9999999999999996e-06,2.4e-06,9,248.99777658670237,26915.348039268898,11878660.0
9.2e-06,1.4e-06,5.4e-06,6e-06,11,1417.2909585437571,4466.835921509595,9253210.0
